job_title;company;location;salary_preview;date_posted_relative;url;short_description
;ista SE;Berlin;;vor 1 Woche;https://www.stepstone.dehttps://www.stepstone.de/cmp/de/ista-se-88294/jobs;
;Assecor GmbH;Berlin;;vor 6 Tagen;https://www.stepstone.dehttps://www.stepstone.de/cmp/de/assecor-gmbh-5006835/jobs;
;Schnellecke Logistics Deutschland GmbH;bundesweit;;vor 3 Wochen;https://www.stepstone.dehttps://www.stepstone.de/cmp/de/schnellecke-logistics-deutschland-gmbh-176407/jobs;
;TÜV SÜD;München;;vor 3 Wochen;https://www.stepstone.dehttps://www.stepstone.de/cmp/de/t%c3%9cv-s%c3%9cd-54474/jobs;
;operational services GmbH & Co. KG;Wolfsburg;;vor 1 Tag;https://www.stepstone.dehttps://www.stepstone.de/cmp/de/operational-services-gmbh-%26-co-kg-72471/jobs;
;ADS Allgemeine Deutsche Steuerberatungsgesellschaft mbH;Hamburg, bundesweit, remote;;vor 9 Stunden;https://www.stepstone.dehttps://www.stepstone.de/cmp/de/ads-allgemeine-deutsche-steuerberatungsgesellschaft-mbh-68313/jobs;
;Homaris One GmbH;Berlin;;vor 1 Tag;https://www.stepstone.dehttps://www.stepstone.de/cmp/de/homaris-one-gmbh-5168268/jobs;
;clicks digital GmbH;Dresden;;vor 1 Tag;https://www.stepstone.dehttps://www.stepstone.de/cmp/de/clicks-digital-gmbh-5007435/jobs;
;FINARIS Financial Software Partner GmbH;Frankfurt am Main, Deutschland;;vor 1 Woche;https://www.stepstone.dehttps://www.stepstone.de/cmp/de/finaris-financial-software-partner-gmbh-5002314/jobs;
;SPIRIT-TESTING Software & Services GmbH;München, Deutschland;;vor 1 Woche;https://www.stepstone.dehttps://www.stepstone.de/cmp/de/spirit-testing-software-%26-services-gmbh-5012585/jobs;
;leadwunder GmbH;Hamburg;;vor 1 Woche;https://www.stepstone.dehttps://www.stepstone.de/cmp/de/leadwunder-gmbh-5067862/jobs;
;IU Internationale Hochschule;Dortmund, Home-Office;;vor 1 Woche;https://www.stepstone.dehttps://www.stepstone.de/cmp/de/iu-internationale-hochschule-97654/jobs;
;REINERT Logistic GmbH & Co. KG;Leipzig;;vor 3 Tagen;https://www.stepstone.dehttps://www.stepstone.de/cmp/de/reinert-logistic-gmbh-%26-co-kg-5010986/jobs;
;REINERT Logistic GmbH & Co. KG;Cottbus;;vor 3 Tagen;https://www.stepstone.dehttps://www.stepstone.de/cmp/de/reinert-logistic-gmbh-%26-co-kg-5010986/jobs;
;REINERT Logistic GmbH & Co. KG;Spremberg;;vor 3 Tagen;https://www.stepstone.dehttps://www.stepstone.de/cmp/de/reinert-logistic-gmbh-%26-co-kg-5010986/jobs;
;REINERT Logistic GmbH & Co. KG;Groß Klessow;;vor 6 Tagen;https://www.stepstone.dehttps://www.stepstone.de/cmp/de/reinert-logistic-gmbh-%26-co-kg-5010986/jobs;
;REINERT Logistic GmbH & Co. KG;Velten;;vor 6 Tagen;https://www.stepstone.dehttps://www.stepstone.de/cmp/de/reinert-logistic-gmbh-%26-co-kg-5010986/jobs;
StepStone;Unknown;;;;https://www.stepstone.de/;
Neuer als 24h;Unknown;;;;https://www.stepstone.dehttps://www.stepstone.de/jobs/automation-specialist/in-deutschland?radius=30&action=facet_selected%3bage%3bage_1&ag=age_1;
Teilweise Home-Office;Unknown;;;;https://www.stepstone.dehttps://www.stepstone.de/jobs/automation-specialist/in-deutschland?radius=30&action=facet_selected%3bworkFromHome%3b2&wfh=2;
Auf Unternehmenswebsite;Unknown;;;;https://www.stepstone.dehttps://www.stepstone.de/jobs/automation-specialist/in-deutschland?radius=30&action=facet_selected%3bapplicationMethod%3bEXTERNAL&am=EXTERNAL;
Deutsch;Unknown;;;;https://www.stepstone.dehttps://www.stepstone.de/jobs/automation-specialist/in-deutschland?radius=30&action=facet_selected%3bdetectedLanguages%3bde&fdl=de;
Kommunikation;Unknown;;;;https://www.stepstone.dehttps://www.stepstone.de/jobs/automation-specialist/in-deutschland?radius=30&action=facet_selected%3bskills%3b83923&fsk=83923;
Buchhaltung;Unknown;;;;https://www.stepstone.dehttps://www.stepstone.de/jobs/automation-specialist/in-deutschland?radius=30&action=facet_selected%3bdisciplines%3bBuchhaltung&di=Buchhaltung;
Vollzeit;Unknown;;;;https://www.stepstone.dehttps://www.stepstone.de/jobs/vollzeit/automation-specialist/in-deutschland?radius=30&action=facet_selected%3bworktypes%3b80001;
;Wölfel-Gruppe;Höchberg;;vor 9 Stunden;https://www.stepstone.dehttps://www.stepstone.de/cmp/de/w%c3%b6lfel-gruppe-317637/jobs;
;Valentum Engineering GmbH;Dresden;;vor 12 Stunden;https://www.stepstone.dehttps://www.stepstone.de/cmp/de/valentum-engineering-gmbh-5001341/jobs;
;ITGAIN Consulting GmbH;Hannover;;vor 1 Tag;https://www.stepstone.dehttps://www.stepstone.de/cmp/de/itgain-consulting-gmbh-5032283/jobs;
