job_title;company;location;salary_preview;date_posted_relative;url;short_description
;Jonas & Redmann Automationstechnik GmbH;Berlin;;vor 5 Stunden;https://www.stepstone.dehttps://www.stepstone.de/cmp/de/jonas-%26-redmann-automationstechnik-gmbh-52521/jobs;
;AVAT Automation GmbH;Tübingen;;vor 1 Woche;https://www.stepstone.dehttps://www.stepstone.de/cmp/de/avat-automation-gmbh-7797/jobs;
;Beckhoff Automation GmbH & Co. KG;Herzebrock-Clarholz;;vor 1 Woche;https://www.stepstone.dehttps://www.stepstone.de/cmp/de/beckhoff-automation-gmbh-%26-co-kg-30835/jobs;
;SPIE Building Technology Automation & Traffic GmbH;Weinstadt bei Stuttgart, Stuttgart, Karlsruhe, Ulm;;vor 3 Tagen;https://www.stepstone.dehttps://www.stepstone.de/cmp/de/spie-building-technology-automation-%26-traffic-gmbh-112135/jobs;
;Walther Systemtechnik GmbH;Germersheim;;vor 1 Tag;https://www.stepstone.dehttps://www.stepstone.de/cmp/de/walther-systemtechnik-gmbh-175634/jobs;
StepStone;Unknown;;;;https://www.stepstone.de/;
Neuer als 24h;Unknown;;;;https://www.stepstone.dehttps://www.stepstone.de/jobs/automation-specialist/in-deutschland?radius=30&action=facet_selected%3bage%3bage_1&ag=age_1;
Teilweise Home-Office;Unknown;;;;https://www.stepstone.dehttps://www.stepstone.de/jobs/automation-specialist/in-deutschland?radius=30&action=facet_selected%3bworkFromHome%3b2&wfh=2;
Auf Unternehmenswebsite;Unknown;;;;https://www.stepstone.dehttps://www.stepstone.de/jobs/automation-specialist/in-deutschland?radius=30&action=facet_selected%3bapplicationMethod%3bEXTERNAL&am=EXTERNAL;
Deutsch;Unknown;;;;https://www.stepstone.dehttps://www.stepstone.de/jobs/automation-specialist/in-deutschland?radius=30&action=facet_selected%3bdetectedLanguages%3bde&fdl=de;
Kommunikation;Unknown;;;;https://www.stepstone.dehttps://www.stepstone.de/jobs/automation-specialist/in-deutschland?radius=30&action=facet_selected%3bskills%3b83923&fsk=83923;
Buchhaltung;Unknown;;;;https://www.stepstone.dehttps://www.stepstone.de/jobs/automation-specialist/in-deutschland?radius=30&action=facet_selected%3bdisciplines%3bBuchhaltung&di=Buchhaltung;
Vollzeit;Unknown;;;;https://www.stepstone.dehttps://www.stepstone.de/jobs/vollzeit/automation-specialist/in-deutschland?radius=30&action=facet_selected%3bworktypes%3b80001;
;Risk.Ident GmbH;Hamburg;;vor 2 Tagen;https://www.stepstone.dehttps://www.stepstone.de/cmp/de/riskident-gmbh-144477/jobs;
;adesso SE;Berlin, Dortmund, Düsseldorf, Frankfurt, Hamburg, Köln, Leipzig;;vor 2 Tagen;https://www.stepstone.dehttps://www.stepstone.de/cmp/de/adesso-se-7420/jobs;
;AVAT Automation GmbH;Tübingen;;vor 2 Tagen;https://www.stepstone.dehttps://www.stepstone.de/cmp/de/avat-automation-gmbh-7797/jobs;
;Radwell International Germany GmbH;NRW - Mönchengladbach, Düsseldorf, Köln, Dortmund, Essen, Wuppertal, Bochum;;vor 1 Tag;https://www.stepstone.dehttps://www.stepstone.de/cmp/de/radwell-international-germany-gmbh-172286/jobs;
;SCHILLER AUTOMATION GmbH & Co. KG;Sonnenbühl-Genkingen;;vor 4 Tagen;https://www.stepstone.dehttps://www.stepstone.de/cmp/de/schiller-automation-gmbh-%26-co-kg-86562/jobs;
;Reis Robotics GmbH & Co. KG;Obernburg;;vor 1 Tag;https://www.stepstone.dehttps://www.stepstone.de/cmp/de/reis-robotics-gmbh-%26-co-kg-63418/jobs;
;ZEISS;Oberkochen (Baden-Württemberg);;vor 6 Tagen;https://www.stepstone.dehttps://www.stepstone.de/cmp/de/zeiss-3427/jobs;
;ENERVENTIS GmbH & Co. KG;Trier;;vor 1 Tag;https://www.stepstone.dehttps://www.stepstone.de/cmp/de/enerventis-gmbh-%26-co-kg-383126/jobs;
;ITEBO GmbH;Osnabrück;;vor 3 Tagen;https://www.stepstone.dehttps://www.stepstone.de/cmp/de/itebo-gmbh-96175/jobs;
;ITEBO GmbH;Braunschweig;;vor 3 Tagen;https://www.stepstone.dehttps://www.stepstone.de/cmp/de/itebo-gmbh-96175/jobs;
;Megger GmbH;Aachen, Eschweiler, Düren, Maastricht, Köln, Lüttich;;vor 1 Tag;https://www.stepstone.dehttps://www.stepstone.de/cmp/de/megger-gmbh-254914/jobs;
;ACO Ahlmann SE & Co. KG;Büdelsdorf;;vor 13 Stunden;https://www.stepstone.dehttps://www.stepstone.de/cmp/de/aco-ahlmann-se-%26-co-kg-3579/jobs;
;Leadec Automation & Engineering GmbH;Stuttgart;;vor 1 Woche;https://www.stepstone.dehttps://www.stepstone.de/cmp/de/leadec-automation-%26-engineering-gmbh-248092/jobs;
;TRATON SE;München;;vor 3 Tagen;https://www.stepstone.dehttps://www.stepstone.de/cmp/de/traton-se-180756/jobs;
;ARRK Engineering GmbH;München;;vor 7 Stunden;https://www.stepstone.dehttps://www.stepstone.de/cmp/de/arrk-engineering-gmbh-2718/jobs;
;Bucher Automation Tettnang GmbH;Tettnang;;vor 1 Woche;https://www.stepstone.dehttps://www.stepstone.de/cmp/de/bucher-automation-tettnang-gmbh-97559/jobs;
;DMS Daten Management Service GmbH;Berlin;;vor 2 Tagen;https://www.stepstone.dehttps://www.stepstone.de/cmp/de/dms-daten-management-service-gmbh-125513/jobs;
;Paul Bauder GmbH & Co. KG;Bernsdorf;;vor 1 Tag;https://www.stepstone.dehttps://www.stepstone.de/cmp/de/paul-bauder-gmbh-%26-co-kg-72418/jobs;
;R+V Allgemeine Versicherung AG;Wiesbaden;;vor 3 Tagen;https://www.stepstone.dehttps://www.stepstone.de/cmp/de/r%2bv-allgemeine-versicherung-ag-113145/jobs;
;meinestadt.de;Karlsruhe;;vor 4 Stunden;https://www.stepstone.dehttps://www.stepstone.de/cmp/de/meinestadtde-218724/jobs;
;NORDWEST Handel AG;Dortmund;;vor 9 Stunden;https://www.stepstone.dehttps://www.stepstone.de/cmp/de/nordwest-handel-ag-40094/jobs;
;Almato AG;Stuttgart, Reutlingen;;vor 7 Stunden;https://www.stepstone.dehttps://www.stepstone.de/cmp/de/almato-ag-36022/jobs;
;SAP SE;St. Leon-Rot, DE, 68789;;vor 16 Stunden;https://www.stepstone.dehttps://www.stepstone.de/cmp/de/sap-se-215050/jobs;
;Volkswohnung GmbH;Karlsruhe;;vor 12 Stunden;https://www.stepstone.dehttps://www.stepstone.de/cmp/de/volkswohnung-gmbh-176434/jobs;
;Helmholtz-Zentrum Hereon;Teltow (bei Berlin);;vor 4 Tagen;https://www.stepstone.dehttps://www.stepstone.de/cmp/de/helmholtz-zentrum-hereon-83126/jobs;
StepStone;Unknown;;;;https://www.stepstone.de/;
