City,Latitude,Longitude
65929,50.0944874,8.5308675
66620,49.5727773,6.9832744
68159,49.496349,8.4535361
68163,49.4685394,8.5123672
68165,49.480252,8.4889643
70173,48.7820792,9.1830511
70174,48.7820792,9.17141
70469,48.8058415,9.1482111
70567,48.7218152,9.1559892
70629,48.6888022,9.2057075
70806,48.8659279,9.1851251
71065,48.7103992,9.056412
71083,48.5997139,8.8796592
71272,48.7708329,8.9313517
72762,48.4795672,9.1929204
72770,48.4645467,9.1571087
73230,48.6405169,9.4514092
73765,48.6800464,9.2783247
74172,49.1946375,9.2160972
74199,49.0941936,9.3070634
74232,49.0724509,9.3085947
74239,49.2655448,9.3871448
76275,48.9261923,8.4055744
76437,48.8672308,8.1843707
76456,48.8208964,8.2705041
76646,49.1048939,8.6011546
78224,47.7569548,8.8620353
78315,47.7669045,8.9983078
78591,48.0394692,8.6671798
79111,47.9910423,7.7837352
80331,48.1356168,11.5732955
80333,48.1449493,11.5682377
80469,48.1266159,11.5705427
80636,48.1503498,11.5421682
80637,48.1594366,11.5366132
80807,48.1830738,11.5839908
80809,48.1787358,11.5539199
80995,48.2179484,11.5124635
80997,48.1927896,11.4844607
81739,48.0893022,11.6581916
82547,47.8383504,11.4102366
83043,47.8653219,12.0086382
83088,47.6278803,12.1596451
84069,48.8219092,12.1654114
85077,48.7165863,11.4909856
85276,48.5434775,11.4838556
85283,48.6034932,11.6422216
85716,48.2771574,11.5535728
85774,48.1903046,11.6648576
86899,48.0336819,10.8638784
88045,47.665068,9.4614738
88416,48.0538681,9.9471285
89542,48.6273822,10.1539367
89584,48.2846841,9.6586816
91052,49.5865939,11.0089087
91058,49.5600719,11.0098047
91257,49.7388149,11.5281328
91710,49.1161362,10.7406852
92339,49.0196674,11.5036735
92637,49.6704287,12.1669845
93055,49.007933,12.1608121
93354,48.7563843,11.8315879
95615,50.011001,12.1072313
96242,50.2377779,11.1493969
96450,50.2603765,10.9820654
97070,49.7940782,9.935303
97816,50.0244792,9.5569149
97877,49.741955,9.52596
99084,50.977007,11.0270416
99086,50.998626,11.033669
99091,51.0178189,10.9990155
Allgäu,47.5926009,10.209156
Altstadt,53.5504928,9.9977795
Baalsdorf,51.3231523,12.4833465
Baden,53.0023496,9.0820955
Bayern,48.9467562,11.4038717
Bergstraße,51.0377769,13.7287549
Breisgau,48.0314933,7.6885693
Buch,50.076428,7.3898109
Burg-Grambke,53.155831,8.7052349
Burgau,48.4312893,10.4065009
Donau,48.97723,12.343954
Dutenhofen,50.5614816,8.6002322
Elsenz,49.2569827,8.860703
Golzheim,51.2507945,6.7599633
Hessen,50.6080651,9.0284647
Hirschburg,49.4910862,8.6767641
Innenstadt,50.1145581,8.6835914
Kröpeliner Tor-Vorstadt,54.0886367,12.1124474
Lahn,52.8168395,7.6171978
Lähr,49.9440252,6.2909576
Lübbenau/Spreewald,51.8680114,13.9689477
Lüneburger Heide,53.0,10.0
Maxvorstadt,48.1510916,11.5624179
Mecklenburg,53.7447473,11.7952263
Mitte,52.5178855,13.4040601
Mittelfranken,49.3232741,10.6902273
Neckar,49.0022197,9.1481031
Neu Zippendorf,53.5978783,11.4517518
Niederbayern,48.6901497,12.7476859
Nordstadt,51.5291362,7.4686075
Oberfranken,50.0553084,11.5455233
Rheinland,49.9531599,7.310646
Ruhr,51.517518,7.1439182
Saalfeld/Saale,50.6479143,11.3610041
Sachsen,50.9295798,13.4585052
